1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,message
0.398261975,0.343635699,0.473538306,3968,0.075124026,0.111461619,0.056654196,1871,0.085801273,0.143253235,0.061240616,2531,0.179955703,0.262944984,0.136784512,4752,0.697482309,0.63660051,0.771240513,14889,0.50954982,review_body-bow-df_80-ngram13-112043-20,review_body-bow-df_80-ngram13-112043-20.csv,0,0.287325057,0.299579209,0.299891629,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.2,0,success,5/24/19 1:43,28011,20,0.4,84032,20,0.2,0.470457577,0.45205543,0.50954982,28011,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0.000420698,0.5,0.000210438,4752,0.694127794,0.531562411,0.999932836,14889,0.53154118,review_body-bow-df_80-ngram13-112043-20,review_body-bow-df_80-ngram13-112043-20.csv,0,0.138909699,0.206312482,0.200028655,28011,RN,"{'n_jobs': 6, 'radius': 30}",5,0,success,5/24/19 1:48,28011,20,5.1,84032,20,0.1,0.369028878,0.36737113,0.53154118,28011,
0.345712976,0.439223301,0.285030242,3968,0.005194805,0.092592593,0.002672368,1871,0.02276176,0.285714286,0.011853023,2531,0.047072331,0.259493671,0.025883838,4752,0.717524942,0.574124098,0.956410773,14889,0.554389347,review_body-bow-df_80-ngram13-112043-20,review_body-bow-df_80-ngram13-112043-20.csv,0,0.227653363,0.33022959,0.256370049,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:48,28011,20,0.1,84032,20,0.1,0.440756673,0.44341399,0.554389347,28011,
0.42482431,0.349796251,0.540826613,3968,0.094075079,0.081536652,0.111170497,1871,0.117705242,0.157303371,0.094033979,2531,0.185611706,0.260555344,0.144149832,4752,0.677440809,0.670881907,0.684129223,14889,0.480632609,review_body-bow-df_90-ngram1-112043-52,review_body-bow-df_90-ngram1-112043-52.csv,0.01,0.299931429,0.304014705,0.314862029,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.6,0,success,5/24/19 1:49,28011,52,0.81,84032,52,0.2,0.468675603,0.470015392,0.480632609,28011,
,,,,,,,,,,,,,,,,,,,,,review_body-bow-df_90-ngram1-112043-52,review_body-bow-df_90-ngram1-112043-52.csv,,,,,,RN,"{'n_jobs': 6, 'radius': 30}",,,failed,5/24/19 1:51,,,,,,,,,,,"No neighbors found for test samples [13774], you can try using larger radius, give a label for outliers, or consider removing them from your dataset."
0.484248894,0.500807754,0.46875,3968,0.021233569,0.196261682,0.011223944,1871,0.04111071,0.23553719,0.022520743,2531,0.084288355,0.346504559,0.047979798,4752,0.736425784,0.603606698,0.944186984,14889,0.579201028,review_body-bow-df_90-ngram1-112043-52,review_body-bow-df_90-ngram1-112043-52.csv,0.01,0.273461462,0.376543577,0.298932294,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:51,28011,52,0.11,84032,52,0.1,0.479470943,0.484961094,0.579201028,28011,
0.420140242,0.342380952,0.54359879,3968,0.095862537,0.0830721,0.113308391,1871,0.11502231,0.154357951,0.091663374,2531,0.181893117,0.261970716,0.139309764,4752,0.679059231,0.673673078,0.684532205,14889,0.480347007,review_body-bow-df_90-ngram12-112043-56,review_body-bow-df_90-ngram12-112043-56.csv,0.01,0.298395487,0.30309096,0.314482505,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.6,0,success,5/24/19 1:52,28011,56,0.81,84032,56,0.2,0.468118444,0.470525108,0.480347007,28011,
,,,,,,,,,,,,,,,,,,,,,review_body-bow-df_90-ngram12-112043-56,review_body-bow-df_90-ngram12-112043-56.csv,,,,,,RN,"{'n_jobs': 6, 'radius': 30}",,,failed,5/24/19 1:53,,,,,,,,,,,"No neighbors found for test samples [13595, 13774], you can try using larger radius, give a label for outliers, or consider removing them from your dataset."
0.483050847,0.508928571,0.459677419,3968,0.02124431,0.198113208,0.011223944,1871,0.040302267,0.225806452,0.022125642,2531,0.086876495,0.346549192,0.0496633,4752,0.735508477,0.601829685,0.945530257,14889,0.578879726,review_body-bow-df_90-ngram12-112043-56,review_body-bow-df_90-ngram12-112043-56.csv,0.01,0.273396479,0.376245422,0.297644113,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:53,28011,56,0.11,84032,56,0.1,0.479180383,0.484418923,0.578879726,28011,
0.392828776,0.357275542,0.436239919,3968,0.080056677,0.118697479,0.06039551,1871,0.098584429,0.136842105,0.077044646,2531,0.188655827,0.229954614,0.15993266,4752,0.683470794,0.632749943,0.743031768,14889,0.494877013,review_body-bow-df_90-ngram13-112043-56-lda20,review_body-bow-df_90-ngram13-112043-56-lda.csv,0.01,0.2887193,0.295103937,0.295328901,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.1,0,success,5/24/19 1:53,28011,20,0.11,84032,20,0,0.465200705,0.446248186,0.494877013,28011,
